nome,endereco,site,telefone,quantidade_avaliacoes,media_avaliacoes,latitude,longitude
Mercadão de Carnes Novilhao.·Link acessado,"Av. Itaqui, 53 - Jardim Belval, Barueri - SP, 06420-210",novilhao.com.br,(11) 4198-2719,,4.2,-23.5095563,-46.9093773
Novilhão Jardim Belval·Link acessado,"Av Itaqui (Bairro Do, Estr. dos Alpes, 53 - Jardim Belval, Barueri - SP, 06420-210",,(11) 4198-2719,,3.3,-23.5095563,-46.9093773
Avícola e Açougue Belval·Link acessado,"Av. Itaqui, 241 - Jardim Belval, Barueri - SP, 06420-210",,(11) 4199-0345,,4.0,-23.5095563,-46.9093773
Empório de carnes e minimercado Bem estar·Link acessado,"R. Eng. Oscar Kesselring, 110 - Jardim Belval, Barueri - SP, 06420-160",,(11) 96195-3045,,,-23.5095563,-46.9093773
Empório de Carnes Vitória·Link acessado,"Av. Henriqueta Mendes Guerra, 1330 - loja 01 - Vila Sao Joao, Barueri - SP, 06401-160",,(11) 99781-1921,,4.8,-23.5095563,-46.9093773
Vilela Carnes·Link acessado,"Av. Cachoeira, 125 - Vila Pindorama, Barueri - SP, 06413-000",vilelacarnes.com.br,(11) 4168-1039,,4.9,-23.4920394,-46.8976557
Bull Beef Casa de Carnes·Link acessado,"Estr. Dr. Cícero Borges de Morais, 1848 - Vila Universal, Barueri - SP, 06407-000",,(11) 94482-7901,,4.2,-23.5025596,-46.9138488
Tennessee Casa de Carnes - Loja São Silvestre·Link acessado,"SP-312, 1632 - Vila Sao Silvestre, Barueri - SP, 06417-000",,(11) 4168-3480,,4.3,-23.492067,-46.8987719
Frias Açougue Avícola·Link acessado,"Avenida Mun., 313 - Jardim Silveira, Barueri - SP, 06433-000",,(11) 96652-6150,,4.8,-23.52384,-46.9099003
Casa de Carnes Souza·Link acessado,"Av. Capitão Francisco César, 1361 - Vila Pindorama, Barueri - SP, 06415-000",,(11) 4161-1232,,4.5,-23.488167,-46.9105766
Center Carnes Rocha Loja II·Link acessado,"R. Maria Eliza, 101 - Vila Universal, Barueri - SP, 06407-090",centercarnesrocha.com.br,(11) 2680-9193,,3.9,-23.488167,-46.9105766
